Name;X-Koordinate;Y-Koordinate;Oberf„che;Datum;Temperatur
ABP9922;4459725,34;5340977,83;497,50;25.07.09;9,90
ABP9926;4460005,12;5341245,74;498,90;25.07.09;12,00
BP 25;4464281,70;5331784,15;534,17;26.07.09;9,90
BP 26;4464222,46;5330721,24;542,08;27.07.09;10,50
BP 32;4460920,72;5337893,07;509,09;25.07.09;11,60
BP 49;4463842,95;5339413,73;501,50;24.07.09;11,30
BP 58;4466153,87;5330454,93;530,62;25.07.09;11,10
BP 64;4475337,58;5335358,36;514,60;24.07.09;13,30
BP 65;4475297,42;5336046,50;512,10;24.07.09;13,10
BP 67;4470481,63;5339114,49;502,29;25.07.09;12,80
BP 68;4475982,19;5336981,66;509,10;24.07.09;10,50
BP 69;4476385,72;5337177,10;508,60;24.07.09;11,10
BWPA 356;4474999,45;5335873,76;512,80;24.07.09;11,40
BWPA 413;4475894,31;5335487,25;514,20;24.07.09;11,00
BWPA 416;4474157,99;5336904,04;509,00;24.07.09;13,40
DB02227;4469636,93;5332588,12;526,07;25.07.09;14,20
FLP7608;4465366,36;5341312,52;495,39;23.07.09;17,00
FLP7618;4463921,30;5342148,45;492,00;24.07.09;12,50
FLP8004;4465565,42;5339858,76;501,24;23.07.09;10,70
FLP8012;4464076,10;5339897,45;499,90;24.07.09;14,40
KP 119;4464214,21;5336541,56;513,50;24.07.09;11,80
KP 127;4465611,45;5336471,33;512,80;23.07.09;12,30
KP 128;4467425,81;5336797,75;513,47;23.07.09;14,70
KP 135;4465795,53;5338275,81;507,30;25.07.09;13,20
KP 15;4475025,21;5331422,98;529,20;23.07.09;12,90
KP 168;4464305,50;5334906,44;521,40;25.07.09;11,00
KP 169;4464012,16;5335204,61;519,49;23.07.09;11,30
KP 171;4460445,95;5338745,78;509,30;25.07.09;11,70
KP 187;4464111,78;5338682,24;503,70;25.07.09;12,90
KP 193;4466182,91;5340294,76;500,20;24.07.09;11,90
KP 207;4474753,81;5332678,31;523,87;23.07.09;12,80
KP 208;4475867,50;5332628,90;524,90;23.07.09;15,90
KP 212;4472796,22;5333106,50;522,40;23.07.09;12,00
KP 216;4474028,21;5333599,57;522,40;23.07.09;11,50
KP 220;4474568,14;5331057,51;530,80;24.07.09;12,50
KP 227;4476758,31;5333430,60;523,70;23.07.09;11,20
