Name,X-Koordinate,Y-Koordinate,Oberfäche,Datum,Temperatur
ABP9922,4459725.34,5340977.83,497.5,2009-07-25T00:00:00Z,9.9
ABP9926,4460005.12,5341245.74,498.9,2009-07-25T00:00:00Z,12
BP 25,4464281.7,5331784.15,534.17,2009-07-26T00:00:00Z,9.9
BP 26,4464222.46,5330721.24,542.08,2009-07-27T00:00:00Z,10.5
BP 32,4460920.72,5337893.07,509.09,2009-07-25T00:00:00Z,11.6
BP 49,4463842.95,5339413.73,501.5,2009-07-24T00:00:00Z,11.3
BP 58,4466153.87,5330454.93,530.62,2009-07-25T00:00:00Z,11.1
BP 64,4475337.58,5335358.36,514.6,2009-07-24T00:00:00Z,13.3
BP 65,4475297.42,5336046.5,512.1,2009-07-24T00:00:00Z,13.1
BP 67,4470481.63,5339114.49,502.29,2009-07-25T00:00:00Z,12.8
BP 68,4475982.19,5336981.66,509.1,2009-07-24T00:00:00Z,10.5
BP 69,4476385.72,5337177.1,508.6,2009-07-24T00:00:00Z,11.1
BWPA 356,4474999.45,5335873.76,512.8,2009-07-24T00:00:00Z,11.4
BWPA 413,4475894.31,5335487.25,514.2,2009-07-24T00:00:00Z,11
BWPA 416,4474157.99,5336904.04,509,2009-07-24T00:00:00Z,13.4
DB02227,4469636.93,5332588.12,526.07,2009-07-25T00:00:00Z,14.2
FLP7608,4465366.36,5341312.52,495.39,2009-07-23T00:00:00Z,17
FLP7618,4463921.3,5342148.45,492,2009-07-24T00:00:00Z,12.5
FLP8004,4465565.42,5339858.76,501.24,2009-07-23T00:00:00Z,10.7
FLP8012,4464076.1,5339897.45,499.9,2009-07-24T00:00:00Z,14.4
KP 119,4464214.21,5336541.56,513.5,2009-07-24T00:00:00Z,11.8
KP 127,4465611.45,5336471.33,512.8,2009-07-23T00:00:00Z,12.3
KP 128,4467425.81,5336797.75,513.47,2009-07-23T00:00:00Z,14.7
KP 135,4465795.53,5338275.81,507.3,2009-07-25T00:00:00Z,13.2
KP 15,4475025.21,5331422.98,529.2,2009-07-23T00:00:00Z,12.9
KP 168,4464305.5,5334906.44,521.4,2009-07-25T00:00:00Z,11
KP 169,4464012.16,5335204.61,519.49,2009-07-23T00:00:00Z,11.3
KP 171,4460445.95,5338745.78,509.3,2009-07-25T00:00:00Z,11.7
KP 187,4464111.78,5338682.24,503.7,2009-07-25T00:00:00Z,12.9
KP 193,4466182.91,5340294.76,500.2,2009-07-24T00:00:00Z,11.9
KP 207,4474753.81,5332678.31,523.87,2009-07-23T00:00:00Z,12.8
KP 208,4475867.5,5332628.9,524.9,2009-07-23T00:00:00Z,15.9
KP 212,4472796.22,5333106.5,522.4,2009-07-23T00:00:00Z,12
KP 216,4474028.21,5333599.57,522.4,2009-07-23T00:00:00Z,11.5
KP 220,4474568.14,5331057.51,530.8,2009-07-24T00:00:00Z,12.5
KP 227,4476758.31,5333430.6,523.7,2009-07-23T00:00:00Z,11.2
KP 229,4477509.44,5333629.07,525.6,2009-07-23T00:00:00Z,11.2
KP 237,4474650.11,5336260.72,511.45,2009-07-26T00:00:00Z,12.5
KP 238,4474850.68,5336542.1,510.57,2009-07-24T00:00:00Z,12
KP 239,4475047.44,5336407.5,511,2009-07-24T00:00:00Z,11.7
KP 246,4474129,5331682,528.44,2009-07-23T00:00:00Z,11.7
KP 248,4474738.52,5329584.5,536.86,2009-07-28T00:00:00Z,13.1
KP 250,4470053.51,5333224.33,523.94,2009-07-24T00:00:00Z,15.8
KP 256,4474168.06,5337415.8,508.92,2009-07-24T00:00:00Z,14.2
KP 257,4474618.44,5338036.11,505.5,2009-07-24T00:00:00Z,14.4
KP 258,4475335.13,5338061.08,505.4,2009-07-24T00:00:00Z,13.1
KP 260,4472774.43,5332789.09,524.5,2009-07-23T00:00:00Z,11.7
KP 267,4473819.02,5332520.71,525.1,2009-07-23T00:00:00Z,11.8
